Name,intergenicGC,Leu2Per,Leu4Per,Ser2Per,Ser4Per,Arg2Per,Arg4Per
AE000657.embl,37.09655956,2.560951261,8.004175318,1.56264063,3.210732512,4.50294993,0.405117558
AE014184.embl,44.70675964,2.929093408,7.381315388,2.385333504,5.512328479,2.67711627,3.59790307
AE015928.embl,33.13750636,3.371359671,5.627488043,2.227147436,4.064014715,0.975245897,3.5657779
AE016825.embl,58.22134945,1.38330195,10.0642175,2.502231858,3.128652558,0.466477115,6.330675109
AE017282.embl,59.94600498,1.296272823,9.573182171,1.966262226,3.265323713,0.691284662,7.13771441
AL935263.embl,37.56211097,5.858157327,4.143834695,2.580797993,3.193802122,0.23624294,4.047248588
AM180252.embl,25.68772488,4.64029548,6.104235307,2.103696984,4.858366189,1.579828833,2.523389641
AM236080.embl,55.00335046,0.850753241,9.014129144,1.794045276,4.017651655,0.682893768,5.95801661
AM260479.embl,63.23202334,0.544310902,9.88026677,1.851870579,3.148306392,0.282647277,6.881542644
AM260525.embl,33.09158894,4.684245013,5.090529205,2.094473051,4.399428822,0.926618492,4.353685148
AM420293.embl,70.78878153,0.514088001,9.842522059,1.610094161,3.653526135,0.565854255,7.816402926
AM494475.embl,26.69938922,6.116732547,4.120952505,3.049789125,4.320187423,2.358961038,1.255449553
AM711867.embl,71.74126638,0.097406056,9.884989828,1.526637005,3.970514375,0.19430479,7.556071898
AM743169.embl,66.17589082,0.850646425,10.14210946,2.511524731,2.913867804,0.241031507,7.233856712
AM889285.embl,60.2509252,0.613858393,9.544733788,1.590874353,3.573511442,0.446155252,7.822617211
AM902716.embl,60.60582936,1.220778668,9.562975017,1.931636395,3.236284874,0.25398961,7.163008089
AM942759.embl,36.60844774,6.02263738,4.374405403,2.437543342,3.905087486,0.767705491,3.90953063
AM999887.embl,32.87630071,5.005968404,4.726879081,3.079889621,4.443440314,2.67418315,1.37055813
AP006628.embl,23.47480343,7.793375751,3.086571155,1.710166255,3.710810694,1.303785354,1.329274334
AP006840.embl,64.70149076,0.475274262,10.48978903,1.437781796,2.854056661,0.598239904,7.741531043
AP007255.embl,57.16801086,0.981431617,9.257531293,1.603362721,3.848207248,0.412820613,6.604309494
AP008230.embl,40.5940407,3.550990761,6.919189519,2.291503257,3.514086771,1.431541556,3.376036228
AP008955.embl,41.63894831,3.808884853,6.250214771,2.091423055,3.86097543,0.939975837,3.938429483
AP008971.embl,26.79364643,5.938538358,2.933012685,1.876709563,4.361059608,2.823600683,0.518789125
AP009152.embl,71.89879546,0.186283598,9.548824391,1.245952132,4.435509196,0.290165281,7.254885705
AP009153.embl,61.57732132,1.46212218,8.433764552,1.986621031,3.875069697,0.160601,7.922608155
AP009178.embl,33.34686567,3.387870249,6.542397908,2.603852693,2.80197376,1.966986596,1.986290699
AP009179.embl,34.31307464,1.91085935,7.765478737,2.232075259,3.682076489,1.94981422,2.031088834
AP009380.embl,41.21779936,2.595585607,7.12987932,2.232206564,4.164000171,1.148248351,4.894141947
AP009384.embl,64.41369248,0.428527948,10.01751629,1.672370848,3.599659613,0.236532023,6.977508339
AP009389.embl,43.67713558,2.254405398,8.079779753,2.022874976,2.989672479,2.555567301,3.929812386
AP009484.embl,30.46837757,4.704875823,4.537662059,2.145855858,3.562140206,1.306215482,2.492459146
AP009510.embl,32.77149713,4.293793004,4.486034459,1.939636183,4.715122193,3.079067309,1.035300337
AP009552.embl,39.62510916,5.932686283,5.292135122,2.583154596,3.836681224,1.503664033,3.828856543
AP010904.embl,57.9549081,1.473301339,9.439978668,1.563280959,3.592419907,0.480701342,6.220744309
AP010946.embl,63.10428313,0.723645158,9.71698133,1.69007851,3.241301051,0.334345038,7.754539562
AP010953.embl,42.04061853,2.580357728,7.752316442,2.522337708,3.440256515,0.473238942,5.199916547
AP010968.embl,73.08089782,0.243703796,10.76210224,1.411531134,3.268357407,0.235908095,8.037602701
AP011112.embl,37.02477988,2.450145914,8.532773518,2.302800984,3.572041657,4.852905413,0.535913539
AP011121.embl,46.21399191,2.354811764,7.802171847,1.933461993,3.8231414,0.542558401,5.876083763
AP011529.embl,28.38127575,6.099041616,3.624149323,1.980487889,3.635199871,2.985513736,0.353043493
AP011615.embl,42.70524189,5.268911642,5.187451298,2.455727364,4.082539952,1.42275361,4.057944043
AP012027.embl,30.69360739,4.821677551,4.747477768,1.980592178,4.350873389,0.651911439,3.407022252
AP012029.embl,45.83460418,2.99779249,8.50326816,1.891469768,3.520001027,0.694443808,5.769606436
AP012035.embl,60.6048807,0.525777074,9.944797781,1.555110361,3.118706641,0.369793626,7.689205385
AP012044.embl,45.07128142,1.789809367,7.828582889,2.273824424,3.880522952,0.89351748,4.561837957
AP012046.embl,30.49424648,6.399867523,3.24350444,2.257395478,3.691970236,0.973892884,2.853132881
AP012050.embl,30.86748915,5.883713661,3.863222349,2.00176521,3.74026346,1.359570071,2.898415028
AP012051.embl,31.29734716,3.494269993,6.367961607,1.769682678,4.422862107,3.002151338,0.845434612
AP012052.embl,70.35765798,0.307961237,9.646111548,1.47869038,4.162035748,0.185565334,7.372340661
AP012057.embl,65.05993207,0.717008938,8.293267545,1.71566417,4.248743915,0.176229347,6.503985202
