Name,Species,GCcontent,intergenicGC,GC3content,PhePer,Leu2Per,Leu4Per,IlePer,MetPer,ValPer,Ser2Per,Ser4Per,ProPer,ThrPer,AlaPer,TyrPer,HisPer,GlnPer,AsnPer,LysPer,AspPer,GluPer,CysPer,TrpPer,Arg2Per,Arg4Per,GlyPer,PheGC,Leu2GC,Leu4GC,Ser2GC,Ser4GC,ProGC,ThrGC,AlaGC,TyrGC,HisGC,GlnGC,AsnGC,LysGC,AspGC,GluGC,CysGC,Arg2GC,Arg4GC,GlyGC,ValGC
AE000657.embl,Aquifex_aeolicus_VF5,43.4761673,37.09655956,48.08288151,5.129247605,24755,77371,7.308978692,1.871549876,7.942517998,43527,31036,4.062658734,4.197456532,5.880928956,4.122143564,1.54557107,2.03727785,3.586986995,9.379671499,4.30473613,9.608507055,0.790268902,0.93386011,43527,3916,6.736165639,43.84542466,31.5451424,56.91667421,50.27474346,50.6025261,59.60632528,56.32178242,44.57930937,81.87270993,83.34672021,64.39343929,70.19006143,52.05973507,62.74302468,34.9163966,51.27634507,57.72509017,49.3360572,26.89436987,30.03972647
AE014184.embl,Tropheryma_whipplei_str._Twist,46.3319972,44.70675964,42.48312016,4.200995892,15600,39312,6.710252578,1.796513997,8.024213839,14258,29358,4.554740249,5.470269702,8.303228762,2.771372994,2.072896873,3.08118095,3.564481363,4.736118726,5.2430772,4.989973488,1.338370373,1.017672197,14258,19162,7.338130037,27.40681148,62.74358974,42.54680505,44.94647355,36.33081273,47.11847638,40.8594769,43.01931165,37.80487805,38.24275362,59.58561853,33.49136115,44.73517285,30.6761209,49.56351595,45.62289562,49.31968018,51.32032147,45.79601863,35.93223512
AE015928.embl,Bacteroides_thetaiotaomicron_VPI-5482,42.83717824,33.13750636,44.99584268,4.553749743,126102,210490,6.872919669,2.706563408,6.273998166,36478,152010,3.77222696,5.691599004,6.826400456,4.644809766,1.814730549,3.491400629,5.24250145,6.665882435,5.522900018,6.495525868,1.220567909,1.36333377,36478,133374,6.753894647,50.38748767,62.28291383,65.62116965,46.10582925,45.74435892,57.97329478,44.57085416,41.43905629,29.94117444,33.53074634,56.97592502,39.34621857,38.34997794,40.52512852,27.8887709,44.39479564,28.54323154,42.80144556,29.43924124,43.56378264
AE016825.embl,Chromobacterium_violaceum_ATCC_12472,64.83374306,58.22134945,85.55938993,3.45244079,36878,268306,4.425605978,2.412845905,6.773970907,12436,83408,4.933794459,4.257110062,12.40275475,2.486777647,2.184820364,4.34465892,2.877709176,3.616435479,5.41985191,5.36741262,1.021328312,1.464924192,12436,168772,8.365679648,86.32333768,92.83583708,95.44400796,92.93637944,89.70362555,89.31058602,90.9861488,91.09693029,72.97272837,64.81475123,80.4361715,72.53317344,78.39480563,76.03709599,59.01937215,89.89275746,73.01383081,90.02441163,89.02091255,90.59637854
AE017282.embl,Methylococcus_capsulatus_str._Bath,63.58457296,59.94600498,80.06880397,3.785232245,25566,188809,4.748994813,2.097026318,7.354317614,13634,64401,5.353475944,4.791483925,11.15983106,2.511015226,2.319966333,3.209753229,2.584230354,3.226282406,5.390184914,6.273126905,1.093156616,1.395599994,13634,140775,8.475614394,84.65072668,94.95423609,92.86739509,82.1351212,88.08403596,85.80764313,88.96731252,85.21639967,63.13908408,57.54436577,82.54166338,71.76659865,69.78831073,67.00749701,50.75208328,78.74304267,70.37553176,81.78298704,74.61982987,87.39443077
AL935263.embl,Lactobacillus_plantarum_WCFS1,44.4668865,37.56211097,45.16676447,3.952169957,54405,38484,6.534583102,2.619133761,7.399981695,2194,29661,3.793562003,7.082335079,9.205075885,3.504126714,2.37341244,5.226309754,4.391383701,5.112280003,5.637096818,4.477525156,0.501558622,1.171416112,2194,37587,6.629877087,34.84906277,43.15595993,50.84710529,32.45577437,39.53339402,41.76435526,57.72189619,49.98596294,38.83784531,42.20578895,35.9746173,39.76902141,49.95366275,34.04072433,24.40660847,32.69643624,32.58887876,53.7712507,44.82069772,51.63698271
AM180252.embl,Lawsonia_intracellularis_PHE/MN1-00,33.28448655,25.68772488,18.53526266,4.312067908,18619,24493,8.777408373,2.204139615,5.936757002,6339,19494,4.386087338,5.93999691,6.484052177,3.232680201,2.267935381,4.048140044,4.601167364,6.187725236,4.427956914,6.135637489,1.295464628,1.141195177,6339,10125,6.52093728,13.81343197,15.50566625,13.78761279,22.49733444,10.12106289,8.051593841,11.43744231,10.02805858,16.58314702,16.35164835,21.06753679,21.66070848,19.15981956,16.66010019,21.3331167,16.14082339,21.61224168,16.45432099,21.26122683,16.72893665
AM236080.embl,Rhizobium_leguminosarum_bv._viciae_3841,61.09037476,55.00335046,77.24821594,3.956530776,12402,131405,5.76628501,2.5476654,7.248209076,9955,58568,4.850843791,5.307638326,11.81958434,2.317379938,2.022545441,3.075045601,2.858893088,3.738320321,5.728418876,5.785835459,0.791621706,1.278873784,9955,86854,8.26682179,79.71635141,92.13836478,83.01662798,86.20425955,86.24675591,84.08943066,86.30142298,80.3078316,43.15611864,44.8344865,83.24893479,61.09271523,78.09747504,57.33172069,52.80636441,85.18197574,68.45806128,81.19487876,78.55133556,84.641593
AM260479.embl,Ralstonia_eutropha_H16,66.46591142,63.23202334,86.51197754,3.476291843,6459,117243,4.453085103,2.522338339,7.711955963,3354,37359,5.377714181,5.077454118,13.10837846,2.371152786,2.258987155,3.814052811,2.567084486,3.08173175,5.256025848,5.29335821,0.951258935,1.367898213,3354,81659,8.414613387,82.64284502,94.75150952,94.74510205,92.07736064,90.91249766,89.74049582,92.44991784,87.72283975,71.68141593,65.52264418,87.58258026,77.91674874,90.96229046,75.51386885,59.66440068,91.94720057,80.32200358,89.9900807,88.95754674,92.03828964
AM260525.embl,Bartonella_tribocorum_CIP_105476,38.8560633,33.09158894,30.84560892,4.393556323,30311,32940,7.110668785,2.347457745,6.241075347,5996,28468,3.791934277,5.312447843,8.451607519,2.931767746,2.403242856,4.027143308,4.23128991,6.257456528,5.201643063,6.269819683,1.051177281,1.139573842,5996,28172,6.959374672,14.65001759,43.40008578,31.7911354,39.99114587,24.67331741,30.24412112,39.22794973,31.46336558,15.41826999,20.8218121,24.91653555,22.07450694,25.95638537,14.68255147,26.19605137,27.63892973,27.01801201,37.56566804,35.68716275,34.40386282
